動畫名稱,ID,集數,年份,季節,字幕組
全修。,1604,1-12,2025,冬,喵萌奶茶屋
天久鷹央的推理病歷表,1575,1-12,2025,冬,
秘密的美妙公主,1465,1-51,2024,春,雪飄
魔法製造者～異世界魔法的製作方法～,1609,1-12,2025,冬,幻櫻
金牌得主,1605,1-13,2025,冬,喵萌奶茶屋
MOMENTARY LILY 剎那之花,1577,1-13+14,2025,冬,
金肉人 完美超人始祖篇 第二季,1607,1-11,2025,冬,
超超超超超喜歡你的100個女朋友 第二季,1603,13-24,2025,冬,
香格里拉·開拓異境～糞作獵手挑戰神作～ 第二季,1563,1-25,2024,秋,
魔法使光之美少女！！～MIRAI DAYS～,1614,1-12,2025,冬,雪飄
我獨自升級 第二季 -起於闇影-,1582,1-13,2025,冬,
我與尼特女忍者的莫名同居生活,1583,1-12+13,2025,冬,
我是星際國家的惡德領主,1620,連載中(03),2025,春,
異修羅 第二季,1606,1-12,2025,冬,喵萌奶茶屋
青之壬生浪,1566,1-24,2024,秋,
雖然是公會的櫃檯小姐，但因為不想加班所以打算獨自討伐迷宮頭目,1597,1-12,2025,冬,
歡迎來到日本，妖精小姐。,1595,1-12,2025,冬,
FARMAGIA 魔農傳記,1594,1-12,2025,冬,
一兆＄遊戲,1533,1-26,2024,秋,
終究，與你相戀。,1593,1-12,2025,冬,
中年大叔轉生反派千金,1592,1-12,2025,冬,
BanG Dream! Ave Mujica,1576,1-13,2025,冬,喵萌奶茶屋
不幸職業【鑑定士】其實是最強的,1591,1-12,2025,冬,
青春特調蜂蜜檸檬蘇打,1589,1-12,2025,冬,
Re:從零開始的異世界生活 第三季,1525,1-16,2024,秋,
群花綻放、彷如修羅,1588,1-12,2025,冬,桜都
結緣甘神神社,1523,1-24,2024,秋,
妖怪學校的菜鳥老師！,1560,1-24,2024,秋,
這公司有我喜歡的人,1587,1-12,2025,冬,
魔法使的約定,1586,1-12,2025,冬,
寶可夢 地平線 烈空坐之升龍崛起,1567,68-89,2024,秋,楓葉
中年男的異世界網購生活,1615,連載中(10),2025,冬,黑白
我想蹺掉太子妃培訓,1585,1-12,2025,冬,
SAKAMOTO DAYS 坂本日常,1612,1-11,2025,冬,北宇治
在沖繩喜歡上的女孩方言講得太過令人困擾,1581,1-12,2025,冬,桜都
青之驅魔師 終夜篇,1584,1-12,2025,冬,豌豆
我和班上最討厭的女生結婚了。,1580,1-12,2025,冬,
一桿青空,1579,1-12,2025,冬,
