動畫名稱,ID,集數,年份,季節,字幕組
BanG Dream!,41,1-13+OVA,2017,冬,DHR百合組
擴張少女系三重奏(擴張少女系Trinary),146,連載中(04 EP03),2017,春,F宅
sin 七大罪,126,1-12,2017,春,幻櫻
為美好的世界獻上祝福！ 第二季,28,1-10+OVA,2017,冬,愛戀&風之聖殿
小金剛起源,145,1-12,2017,春,極影
小魔女學園,23,1-25,2017,冬,動漫國
月色真美,103,1-12,2017,春,極影
飆速宅男 第三季,38,1-25,2017,冬,Dymy
正確的卡多,109,0-12,2017,春,動漫國
在地下城尋求邂逅是否搞錯了什麼 外傳 劍姬神聖譚,127,1-12,2017,春,極影
戀愛暴君,112,1-12,2017,春,極影
喧嘩番長 乙女-Girl Beats Boys-,124,1-12,2017,春,幻櫻
Room Mate,122,1-12,2017,春,動漫國
末日時在做什麼？有沒有空？可以來拯救嗎？,121,1-12,2017,春,RH
覆面系NOISE,125,1-12,2017,春,悠哈璃羽
從零開始的魔法書,116,1-12,2017,春,時雨初空
愛麗絲與藏六,115,1-12,2017,春,動漫國
有頂天家族 第二季,113,1-12,2017,春,動漫國&幻之
ID-0,114,1-12,2017,春,兔子
快盜天使雙胞胎BREAK,104,1-12,2017,春,喵萌奶茶屋
碧藍幻想,84,1-13+Extra1-2,2017,春,雪飄&澄空
銀之守墓人,138,1-12,2017,春,-
烙印勇士 第二季,107,1-12,2017,春,幻櫻
雛子的筆記,80,1-12,2017,春,DHR百合組
不起眼女主角培育法♭ (第二季),92,0-11,2017,春,幻櫻
時鐘機關之星,100,1-12,2017,春,兔子
LOVE 米 -WE LOVE RICE-,98,1-12,2017,春,幻之
王室教師海涅,96,1-12,2017,春,喵萌奶茶屋
黑色推銷員NEW,91,1-12,2017,春,豌豆
亞人醬有話要說,18,1-13,2017,冬,幻之
夏目友人帳 陸,123,1-11,2017,春,流雲
不正經的魔術講師與禁忌教典,94,1-12,2017,春,動漫國
高校星歌劇 第二季,117,1-12,2017,春,-
Frame Arms Girl 機甲少女,95,1-12,2017,春,兔子
與僧侶交合的色慾之夜,87,1-12,2017,春,幻櫻
進擊的巨人 第二季,83,1-12,2017,春,動漫國
Fate/stay night [Unlimited Blade Works],157,0-25,2014,秋,紫音
暗殺教室 第二季,156,1-25,2016,冬,極影
噬血狂襲 OVA 第二季,152,1-8,2016,秋,動漫國&輕之國度
噬血狂襲,155,1-24,2013,秋,動漫國&輕之國度
One Room,26,1-12+OVA,2017,冬,動漫國
噬血狂襲 OVA,153,1-2,2015,秋,動漫國&輕之國度
高校艦隊,66,1-12+OVA02,2016,春,DHR&茉語星夢
探索者！(BLAME!),151,劇場版,2017,春,動漫國
廢天使加百列,24,1-12+OVA02,2017,冬,動漫國
偶像大師 灰姑娘女孩劇場,93,連載中(08),2017,春,紫音
文豪野犬 (文豪Stray Dogs) 第二季,150,1-12+OVA,2016,秋,幻櫻
文豪野犬 (文豪Stray Dogs),149,1-12,2016,春,Dymy
聲之形,148,劇場版,2016,夏,動漫國
無彩限的幻影世界,147,1-13+OVA,2016,春,極影
超・少年偵探團NEO,7,1-13,2017,冬,極影
在地下城尋求邂逅是否搞錯了什麼,143,1-13+OVA,2015,春,惡魔島
NEW GAME!,54,1-12+OVA,2016,夏,動漫國
曆物語,141,1-12,2016,冬,極影
緋彈的亞莉亞AA,140,1-12,2015,秋,極影
田中君總是如此慵懶,139,1-12,2016,春,DHR&輕之國度
Anne Happy♪,137,1-12,2016,春,TUcaptions
一拳超人,136,1-12+OAD+OVA1-6,2015,秋,幻櫻
Rewrite 第二季,135,1-11,2017,冬,動漫國
Rewrite,134,1-13,2016,夏,動漫國
約會大作戰,133,1-12+OVA,2013,春,動漫國&DHR
吹響吧！上低音號 第二季,132,1-13,2016,秋,DHR&茉語星夢&千夏
青之驅魔師 京都不淨王篇,16,1-12+OAD,2017,冬,豌豆
約會大作戰 劇場版 審判萬由里,130,劇場版,2015,夏,千夏
約會大作戰 II (第二季),129,1-11,2014,春,動漫國&DHR
飛翔的魔女,128,1-12,2016,春,動漫國
變態王子與不笑貓,120,1-12,2013,春,澄空&華盟
甘城輝煌樂園救世主,119,1-13+14,2014,秋,動漫國
長騎美眉,118,1-12,2017,秋,DHR
SHIROBAKO (白箱),106,1-24,2014,秋,華盟
動物朋友,48,1-12.1,2017,冬,DHR百合組
昭和元祿落語心中~助六再現篇~,40,1-12,2017,冬,雪飄
學園少女突襲者 (School Girl Strikers),15,1-13,2017,冬,極影
秋葉原之旅 -THE ANIMATION-,12,1-13,2017,冬,F宅
進擊的巨人,90,1-25,2013,春,動漫國&惡魔島
刀劍神域 第二季 (Sword Art Online II),86,1-24,2014,夏,TUcaptions
幼女戰記,17,1-12,2017,冬,漫貓&愛戀
南鎌倉高校女子自行車社,20,1-13,2017,冬,極影
刀劍神域 (Sword Art Online),82,1-25,2012,夏,SOSG&動漫國
人渣的本願,27,1-12,2017,冬,幻櫻
舌尖上的義大利,39,1-12,2017,冬,極影
ACCA13 區監察課,31,1-12,2017,冬,動漫國
新撰組鎮魂歌,42,1-12,2017,冬,極影
Hand Shakers,25,1-12+OVA,2017,冬,時雨初空
魔裝學園H×H,73,1-12+SP1-6,2016,夏,極影/幻櫻
élDLIVE宇宙警探,21,1-12,2017,冬,豌豆&風之聖殿
喵咪Days,22,1-12,2017,冬,DHR百合組
鎖鏈戰記 赫克瑟塔斯之光,32,1-12,2017,冬,雪飄
風夏,13,1-12,2017,冬,DHR
夏目友人帳 伍,78,1-11+SP01,2016,秋,極影
櫻花莊的寵物女孩,77,1-24,2012,秋,動漫國
SEIREN（清戀）,11,1-12,2017,冬,RH
烏菈菈迷路帖,14,1-12,2017,冬,輕之國度&動漫國
漫研社 Surgical Friends,9,1-12,2017,冬,幻之
我老婆是學生會長！,75,1-12,2015,夏,幻櫻
我的英雄學院,74,1-13,2016,春,愛戀&風之聖殿
SUPER LOVERS 第二季,37,1-10,2017,冬,極影
劇場版 TRINITY SEVEN 魔道書7使者 -悠久圖書館與鍊金術少女-,70,劇場版,2017,冬,幻櫻
路人超能100,69,1-12,2016,夏,極影
學園孤島,68,1-12,2015,夏,動漫國
我太受歡迎了該怎麼辦,65,1-12,2016,秋,幻櫻
WWW.WORKING!!,64,1-13,2016,秋,豌豆
灼熱的桌球娘,63,1-12,2016,秋,DHR
神裝少女小纏,62,1-12+SP,2016,秋,動漫國
請問您今天要來點兔子嗎？？(第二季),61,1-12,2015,秋,KNA
請問您今天要來點兔子嗎？,59,1-12,2014,春,動漫國
可塑性記憶 (PLASTIC MEMORIES),57,1-13,2015,春,極影
不起眼女主角培育法,56,0-12,2015,冬,DHR
食戟之靈,53,1-24,2015,春,Dymy
我老婆是學生會長！+！,51,1-12,2016,秋,極影
少女編號,50,1-12,2016,秋,DHR
魔法少女育成計劃,49,1-12,2016,秋,極影
競女!!!!!!!!,35,1-12+SP1-6,2016,秋,DHR&茉語星夢
Fate/kaleid liner 魔法少女☆伊莉雅,46,1-10+OVA,2013,夏,極影
甲鐵城的卡巴內里,44,1-12,2016,春,澄空&華盟
房東妹子青春期,33,1-12,2016,冬,千夏
Fate/Grand Order -First Order-,8,1,2016,秋,極影
為美好的世界獻上祝福！,4,1-10+OVA,2016,冬,動漫國
LoveLive! Sunshine!!,6,1-13,2016,夏,澄空&華盟
